,Year,Coal Prod,Gas Prod,Oil Prod
654,2364,0.0,0.0,0.0
655,2365,0.0,0.0,0.0
656,2366,0.0,0.0,0.0
657,2367,0.0,0.0,0.0
658,2368,0.0,0.0,0.0
659,2369,0.0,0.0,0.0
660,2370,0.0,0.0,0.0
661,2371,0.0,0.0,0.0
662,2372,0.0,0.0,0.0
663,2373,0.0,0.0,0.0
664,2374,0.0,0.0,0.0
665,2375,0.0,0.0,0.0
666,2376,0.0,0.0,0.0
667,2377,0.0,0.0,0.0
668,2378,0.0,0.0,0.0
669,2379,0.0,0.0,0.0
670,2380,0.0,0.0,0.0
671,2381,0.0,0.0,0.0
672,2382,0.0,0.0,0.0
673,2383,0.0,0.0,0.0
674,2384,0.0,0.0,0.0
675,2385,0.0,0.0,0.0
676,2386,0.0,0.0,0.0
677,2387,0.0,0.0,0.0
678,2388,0.0,0.0,0.0
679,2389,0.0,0.0,0.0
680,2390,0.0,0.0,0.0
681,2391,0.0,0.0,0.0
682,2392,0.0,0.0,0.0
683,2393,0.0,0.0,0.0
684,2394,0.0,0.0,0.0
685,2395,0.0,0.0,0.0
686,2396,0.0,0.0,0.0
687,2397,0.0,0.0,0.0
688,2398,0.0,0.0,0.0
689,2399,0.0,0.0,0.0
690,2400,0.0,0.0,0.0
691,2401,0.0,0.0,0.0
692,2402,0.0,0.0,0.0
693,2403,0.0,0.0,0.0
694,2404,0.0,0.0,0.0
695,2405,0.0,0.0,0.0
